"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
12,NA,"[""l""]",1,"[4.599000000000004]","bless","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.1728000001907333]","nature","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.0208999996185213]","carefree","l",0,"NoHit"
12,NA,"[""d""]",1,"[1.7585999999046322]","nature","d",1,"Hit"
12,NA,"[""l""]",1,"[1.0332000002861008]","easygoing","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8718999996185346]","pillow","l",0,"NoHit"
12,NA,"[""d""]",1,"[1.8894999999999982]","easygoing","d",1,"Hit"
12,NA,"[""l""]",1,"[0.9535999999046254]","gentle","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.8302000002860979]","square","l",0,"NoHit"
12,NA,"[""l""]",0,"[2.628]","gentle","d",1,"Hit"
12,NA,"[""l""]",1,"[2.153000000000006]","carefree","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.2022999997138868]","tool","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.1184000000953631]","bored","l",0,"NoHit"
12,NA,"[""d""]",1,"[1.451100000381473]","tool","d",1,"Hit"
12,NA,"[""l""]",1,"[2.200799999713894]","home","l",0,"NoHit"
12,NA,"[""l""]",1,"[0.9352999997139193]","immature","l",0,"NoHit"
12,NA,"[""d""]",1,"[0.8808000001907317]","home","d",1,"Hit"
12,NA,"[""l""]",1,"[1.0772000002860977]","fault","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.869800000190736]","pillow","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.1439000000953854]","violin","l",0,"NoHit"
12,NA,"[""l""]",0,"[1.2044000000953758]","violin","d",1,"Hit"
12,NA,"[""l""]",1,"[1.9497000002861]","tense","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.3189000000953683]","confident","l",0,"NoHit"
12,NA,"[""l""]",1,"[1.2497999997139004]","bomb","l",0,"NoHit"
12,NA,"[""d""]",1,"[0.9372000002861114]","confident","d",1,"Hit"
12,NA,"[""l""]",1,"[1.0001999998092685]","butterfly","l",0,"NoHit"
