"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
13,917868,"left",5.3104,3,0.9528,"stimuli/objects/bowl02a.jpg","old","left"
13,917868,"right",1.3752,3,0.7712,"stimuli/objects/hourglass.jpg","new","right"
13,917868,"right",1.8818,2,2.3872,"stimuli/objects/heatpump.jpg","old","left"
13,917868,"left",1.3585,4,0.7318,"stimuli/objects/pot01.jpg","old","left"
13,917868,"left",1.3565,4,0.392,"stimuli/objects/icebucket.jpg","old","left"
13,917868,"right",1.5985,3,0.4809,"stimuli/objects/cookingpot.jpg","old","left"
13,917868,"right",1.3678,2,0.2371,"stimuli/objects/ladder.jpg","new","right"
13,917868,"right",1.6358,2,0.2448,"stimuli/objects/garlicpress02a.jpg","new","right"
13,917868,"left",1.6487,3,0.2982,"stimuli/objects/photocopier.jpg","old","left"
13,917868,"right",1.0284,3,0.2776,"stimuli/objects/fanblades.jpg","new","right"
13,917868,"right",0.9822,3,0.5549,"stimuli/objects/muffintray01.jpg","old","left"
13,917868,"right",1,2,0.278,"stimuli/objects/martiniglass01b.jpg","old","left"
13,917868,"left",3.0971,3,0.2885,"stimuli/objects/carantenna.jpg","old","left"
13,917868,"left",1.9821,4,0.1505,"stimuli/objects/boltcutter.jpg","old","left"
13,917868,"left",1.0992,3,0.6449,"stimuli/objects/fuse.jpg","new","right"
13,917868,"right",1.2328,2,8e-04,"stimuli/objects/fridge.jpg","old","left"
13,917868,"right",1.1159,2,0.2513,"stimuli/objects/microwave.jpg","new","right"
13,917868,"left",1.1451,4,0.2041,"stimuli/objects/charcoalbarbecue.jpg","old","left"
13,917868,"left",1.0945,4,0.17,"stimuli/objects/securitycamera.jpg","old","left"
13,917868,"right",1.0087,3,0.2862,"stimuli/objects/bottlecap.jpg","old","left"
13,917868,"right",1.0595,3,0.2506,"stimuli/objects/dvdcase01.jpg","new","right"
13,917868,"left",1.9706,2,0.5235,"stimuli/objects/scanner.jpg","old","left"
13,917868,"left",1.9788,2,0.2254,"stimuli/objects/foodprocessor.jpg","new","right"
13,917868,"left",1.0815,4,0.3163,"stimuli/objects/mitresaw.jpg","new","right"
13,917868,"right",1.3699,3,0.6743,"stimuli/objects/expansioncard.jpg","old","left"
