slides,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,condition,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,respcorrs,myownaccuracy,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,taskprep0.started,taskprep0.stopped,taskGo.started,taskGo.stopped,taskGoresp.keys,taskGoresp.rt,taskGoresp.started,taskGoresp.stopped,pract_resp.keys,pract_resp.corr,feedbImage.started,feedbImage.stopped,rep_resp.keys,rep_resp.rt,rep_resp.started,rep_resp.stopped,task_response.keys,task_response.corr,task_response.rt,feedbImage_2.started,feedbImage_2.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],space,1.5090584650024539,,,,,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide1.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.5380727629963076,11.372192348993849,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide2.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.15656440099701285,11.955805507997866,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide3.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.15871483700175304,12.163571611992666,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide4.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.1155854399985401,12.366439384000842,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide5.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.07990979899477679,12.530959810988861,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
stimuli/slide6.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.17150187099468894,12.652458461991046,None,,,,,,,,,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.837534505990334,None,12.929010089996154,None,space,0.15968508999503683,12.929010089996154,None,,,,,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,None,0,19.50574403499195,20.026607729989337,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,None,0,27.095281757996418,27.60889178799698,,,,,,,,,,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/spotlight.jpg,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,n,8.556163253990235,28.336304119991837,None,3,0,1.2063848749967292,42.59963826798776,43.12438536398986,999,,2021_Dez_18_1439,MemLear_ses-01_part-01_label-phase1,2020.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,
