illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
0,0,0,0,1,slide 1.jpg,'space’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[2.055799999999806],0,0,0,0,1,bless,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.141400000000374],0,1,1,1,1,nature,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.0398999999999035],0,2,2,2,1,carefree,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8944999999999936],0,3,3,3,1,nature,d,1,Hit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.0079999999999956],0,4,4,4,1,easygoing,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9869999999999948],0,5,5,5,1,pillow,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.2602999999998161],0,6,6,6,1,easygoing,d,1,Hit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.6673999999999154],0,7,7,7,1,gentle,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.3284999999999911],0,8,8,8,1,square,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0438999999999083],0,9,9,9,1,gentle,d,1,Hit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.4069999999999965],0,10,10,10,1,carefree,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9440000000000168],0,11,11,11,1,tool,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8437000000002115],0,12,12,12,1,bored,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0162000000001967],0,13,13,13,1,tool,d,1,Hit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.2306999999997288],0,14,14,14,1,home,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.7802000000001783],0,15,15,15,1,immature,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8954999999999984],0,16,16,16,1,home,d,1,Hit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8948999999999216],0,17,17,17,1,fault,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9433999999998832],0,18,18,18,1,pillow,l,0,NoHit
,,,,,,,14,,2021-12-19_22h55.51.597,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.095600000000104],0,19,19,19,1,violin,l,0,NoHit
