images,type,corr_ans,order
stimuli/objects/wire.jpg,new,right,91
stimuli/objects/shotglass.jpg,old,left,92
stimuli/objects/floppydisk02a.jpg,new,right,93
stimuli/objects/snowshoe.jpg,old,left,94
stimuli/objects/spatula04.jpg,old,left,95
stimuli/objects/measuringspoon.jpg,old,left,96
stimuli/objects/nintendods.jpg,old,left,97
stimuli/objects/taperecorder.jpg,old,left,98
stimuli/objects/blender.jpg,new,right,99
stimuli/objects/hockeypuck.jpg,new,right,100
stimuli/objects/whisk.jpg,old,left,101
stimuli/objects/cork02.jpg,new,right,102
stimuli/objects/styrofoamcup.jpg,new,right,103
stimuli/objects/cleaver01.jpg,old,left,104
stimuli/objects/contactlens.jpg,new,right,105
stimuli/objects/kneepad01c.jpg,old,left,106
stimuli/objects/strainer01b.jpg,new,right,107
stimuli/objects/wateringcan.jpg,old,left,108
stimuli/objects/wiicontroller.jpg,old,left,109
stimuli/objects/hockeygoaliepad.jpg,new,right,110
stimuli/objects/spicerack.jpg,old,left,111
stimuli/objects/radio01.jpg,old,left,112
stimuli/objects/aluminiumfoil.jpg,new,right,113
stimuli/objects/smokedetector02.jpg,new,right,114
stimuli/objects/caulking.jpg,old,left,115
stimuli/objects/studiolight.jpg,new,right,116
stimuli/objects/tableknife02.jpg,new,right,117
stimuli/objects/swissarmyknife01a.jpg,old,left,118
stimuli/objects/powercable.jpg,old,left,119
stimuli/objects/battery02b.jpg,old,left,120
stimuli/objects/shovel01.jpg,new,right,121
stimuli/objects/swimgoggles.jpg,old,left,122
stimuli/objects/podium.jpg,old,left,123
stimuli/objects/wheelbarrow01.jpg,new,right,124
stimuli/objects/potatomasher03b.jpg,old,left,125
stimuli/objects/adjustablewrench01b.jpg,old,left,126
stimuli/objects/oven.jpg,old,left,127
stimuli/objects/megaphone.jpg,new,right,128
stimuli/objects/remotecontrol04.jpg,old,left,129
stimuli/objects/coffeemachine.jpg,old,left,130
stimuli/objects/gravyboat.jpg,new,right,131
stimuli/objects/spatula03.jpg,old,left,132
stimuli/objects/lamp04a.jpg,old,left,133
stimuli/objects/coffeepot03a.jpg,old,left,134
stimuli/objects/outletadapter.jpg,new,right,135
stimuli/objects/breadknife.jpg,old,left,136
stimuli/objects/canister.jpg,old,left,137
stimuli/objects/umbrella04.jpg,old,left,138
stimuli/objects/freezer02.jpg,old,left,139
stimuli/objects/pitcher02b.jpg,old,left,140
stimuli/objects/icepack.jpg,old,left,141
stimuli/objects/avcable.jpg,old,left,142
stimuli/objects/surfboard.jpg,old,left,143
stimuli/objects/lectern01.jpg,old,left,144
stimuli/objects/wafflemaker.jpg,new,right,145
stimuli/objects/gps.jpg,old,left,146
stimuli/objects/electricoutlet.jpg,old,left,147
stimuli/objects/fonduefork01.jpg,old,left,148
stimuli/objects/audiocablesplitter.jpg,old,left,149
stimuli/objects/butterdish.jpg,new,right,150
stimuli/objects/servingspoon01.jpg,old,left,151
stimuli/objects/phonejack.jpg,old,left,152
stimuli/objects/funnel.jpg,old,left,153
stimuli/objects/grill.jpg,old,left,154
stimuli/objects/squeegee01b.jpg,old,left,155
stimuli/objects/espressomachine.jpg,new,right,156
stimuli/objects/dishrack.jpg,old,left,157
stimuli/objects/satellitedish01.jpg,new,right,158
stimuli/objects/cakeplatter.jpg,old,left,159
stimuli/objects/webcam.jpg,new,right,160
stimuli/objects/knife03.jpg,old,left,161
stimuli/objects/cuttingpliers02.jpg,old,left,162
stimuli/objects/minifridge.jpg,old,left,163
stimuli/objects/camera01a.jpg,old,left,164
stimuli/objects/speaker04.jpg,new,right,165
stimuli/objects/crocodileclips.jpg,old,left,166
stimuli/objects/cellphone.jpg,new,right,167
stimuli/objects/beachumbrella01.jpg,old,left,168
stimuli/objects/bottleopener01.jpg,new,right,169
stimuli/objects/icecubetray01a.jpg,new,right,170
stimuli/objects/tablesaw.jpg,old,left,171
stimuli/objects/lawnmower.jpg,old,left,172
stimuli/objects/antenna.jpg,new,right,173
stimuli/objects/airconditioner.jpg,new,right,174
stimuli/objects/backpack01a.jpg,old,left,175
stimuli/objects/telephone01b.jpg,old,left,176
stimuli/objects/videocamera01a.jpg,old,left,177
stimuli/objects/corkscrew03a.jpg,new,right,178
stimuli/objects/filmroll.jpg,old,left,179
stimuli/objects/faxmachine.jpg,old,left,180
