"participant","Expra.Code","recog_resp.keys","recog_resp.rt","conf_resp.keys","conf_resp.rt","images","type","corr_ans"
14,NA,"left",2.5871,4,2.4136,"stimuli/objects/surfboard.jpg","old","left"
14,NA,"left",1.66,4,1.1569,"stimuli/objects/ipod.jpg","old","left"
14,NA,"right",3.555,2,2.7449,"stimuli/objects/cakeplatter.jpg","old","left"
14,NA,"left",2.1753,4,1.5743,"stimuli/objects/breadknife.jpg","old","left"
14,NA,"right",2.3802,2,4.8783,"stimuli/objects/styrofoamcup.jpg","new","right"
14,NA,"left",1.5567,3,1.3478,"stimuli/objects/desktopcomputer.jpg","old","left"
14,NA,"right",1.5155,3,2.893,"stimuli/objects/painttray.jpg","old","left"
14,NA,"left",1.4624,4,2.0333,"stimuli/objects/bikepump01.jpg","old","left"
14,NA,"right",1.5999,2,2.9471,"stimuli/objects/solderingiron.jpg","new","right"
14,NA,"left",1.4714,4,1.7422,"stimuli/objects/avcable.jpg","old","left"
14,NA,"right",1.7266,4,1.0025,"stimuli/objects/wafflemaker.jpg","new","right"
14,NA,"right",3.8537,2,0.7923,"stimuli/objects/webcam.jpg","new","right"
14,NA,"left",1.9958,4,1.6487,"stimuli/objects/waterbottle03.jpg","old","left"
14,NA,"right",2.7452,2,1.9753,"stimuli/objects/videocamera01a.jpg","old","left"
14,NA,"right",1.7125,4,1.5084,"stimuli/objects/outletadapter.jpg","new","right"
14,NA,"left",1.9208,4,1.3943,"stimuli/objects/usbcable01a.jpg","new","right"
14,NA,"left",2.83,4,1.0263,"stimuli/objects/peeler01.jpg","old","left"
14,NA,"right",1.146,4,1.2614,"stimuli/objects/jug.jpg","new","right"
14,NA,"right",1.6285,3,1.417,"stimuli/objects/expansioncard.jpg","old","left"
14,NA,"left",1.7022,4,1.2028,"stimuli/objects/snowshovel.jpg","old","left"
14,NA,"left",1.7896,3,1.6743,"stimuli/objects/pitcher02b.jpg","old","left"
14,NA,"right",1.0491,3,1.8525,"stimuli/objects/bowl02a.jpg","old","left"
14,NA,"left",1.4063,4,1.1134,"stimuli/objects/chocolatefonduedish.jpg","old","left"
14,NA,"left",1.4134,4,1.15,"stimuli/objects/airconditioner.jpg","new","right"
14,NA,"left",2.5087,4,1.2391,"stimuli/objects/cookingpot.jpg","old","left"
14,NA,"right",1.4411,3,2.122,"stimuli/objects/espressomachine.jpg","new","right"
14,NA,"right",1.9384,2,1.0846,"stimuli/objects/tripod01.jpg","new","right"
14,NA,"right",1.1582,2,0.8661,"stimuli/objects/handmixer01d.jpg","old","left"
14,NA,"right",1.2301,2,0.5617,"stimuli/objects/hockeygoaliemask.jpg","new","right"
14,NA,"left",1.6295,4,1.6272,"stimuli/objects/coffeemaker.jpg","old","left"
14,NA,"right",1.436,4,1.8552,"stimuli/objects/hockeypuck.jpg","new","right"
14,NA,"right",1.372,4,1.1521,"stimuli/objects/cork02.jpg","new","right"
14,NA,"right",1.335,3,1.0798,"stimuli/objects/mitresaw.jpg","new","right"
14,NA,"left",1.7171,4,1.0069,"stimuli/objects/spatula03.jpg","old","left"
14,NA,"right",1.5703,3,0.987,"stimuli/objects/extensioncord.jpg","old","left"
14,NA,"left",1.6959,4,1.9941,"stimuli/objects/potatomasher03b.jpg","old","left"
14,NA,"left",1.9063,3,4.9622,"stimuli/objects/swimgoggles.jpg","old","left"
14,NA,"right",1.6756,2,1.8697,"stimuli/objects/walkietalkie.jpg","old","left"
14,NA,"left",1.4571,4,1.1026,"stimuli/objects/photocopier.jpg","old","left"
14,NA,"right",2.0419,2,3.3084,"stimuli/objects/garlicpress02a.jpg","new","right"
14,NA,"left",2.1223,4,1.4025,"stimuli/objects/cameracase01a.jpg","old","left"
14,NA,"left",1.2332,1,1.0201,"stimuli/objects/knife03.jpg","old","left"
14,NA,"left",4.7469,2,0.6025,"stimuli/objects/foodprocessor.jpg","new","right"
14,NA,"left",1.6197,4,1.1924,"stimuli/objects/alarmsystem.jpg","old","left"
14,NA,"left",4.4749,4,1.1914,"stimuli/objects/coffeepot03a.jpg","old","left"
14,NA,"right",1.2836,1,0.8219,"stimuli/objects/charcoalbarbecue.jpg","old","left"
14,NA,"left",1.3123,4,1.3791,"stimuli/objects/securitycamera.jpg","old","left"
14,NA,"right",1.3004,2,2.3701,"stimuli/objects/spotlight.jpg","old","left"
14,NA,"left",1.4817,4,0.9233,"stimuli/objects/dishrack.jpg","old","left"
14,NA,"left",1.3152,3,1.9171,"stimuli/objects/wheelbarrow01.jpg","new","right"
14,NA,"right",1.5681,2,0.9358,"stimuli/objects/cashregister01.jpg","old","left"
14,NA,"left",2.9547,4,1.7447,"stimuli/objects/podium.jpg","old","left"
14,NA,"left",1.2611,4,1.5672,"stimuli/objects/chandelier.jpg","old","left"
14,NA,"right",2.4931,1,0.7094,"stimuli/objects/toasteroven.jpg","old","left"
14,NA,"right",1.1896,2,0.2653,"stimuli/objects/fishingrod.jpg","new","right"
14,NA,"left",1.8381,4,1.8981,"stimuli/objects/taperecorder.jpg","old","left"
14,NA,"left",1.384,4,1.1635,"stimuli/objects/bottleopener01.jpg","new","right"
