"participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
26,378308,"[""l""]",1,"[1.9989999999999952]","bless","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.3305000000000007]","nature","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.5815000000000055]","carefree","l",0,"NoHit"
26,378308,"[""l""]",0,"[2.0341000000005636]","nature","d",1,"Hit"
26,378308,"[""l""]",1,"[1.484499999999997]","easygoing","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.8587999999998175]","pillow","l",0,"NoHit"
26,378308,"[""d""]",1,"[1.0397999999998149]","easygoing","d",1,"Hit"
26,378308,"[""l""]",1,"[1.2292999999998102]","gentle","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.4017999999998096]","square","l",0,"NoHit"
26,378308,"[""d""]",1,"[1.120700000000184]","gentle","d",1,"Hit"
26,378308,"[""l""]",1,"[0.9259000000003681]","carefree","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.4002999999998167]","tool","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.168400000000375]","bored","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.9972999999998109]","tool","d",1,"Hit"
26,378308,"[""l""]",1,"[0.6502000000001829]","home","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.488500000000002]","immature","l",0,"NoHit"
26,378308,"[""l""]",0,"[0.6752000000001885]","home","d",1,"Hit"
26,378308,"[""l""]",1,"[1.8705999999996266]","fault","l",0,"NoHit"
26,378308,"[""d""]",0,"[1.2689000000003716]","pillow","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.018500000000003]","violin","l",0,"NoHit"
26,378308,"[""d""]",1,"[1.0369000000003439]","violin","d",1,"Hit"
26,378308,"[""l""]",1,"[2.6504000000003884]","tense","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.3543999999994298]","confident","l",0,"NoHit"
26,378308,"[""l""]",1,"[1.0331000000005588]","bomb","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.9620999999996229]","confident","d",1,"Hit"
26,378308,"[""l""]",1,"[1.92840000000038]","butterfly","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.9039999999999964]","cheer","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.7540999999996245]","street","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.8014000000003705]","cheer","d",1,"Hit"
26,378308,"[""l""]",1,"[0.8075000000000045]","taxi","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.6752999999998224]","adventure","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.8504000000003771]","crutch","l",0,"NoHit"
26,378308,"[""d""]",1,"[0.8852999999998019]","adventure","d",1,"Hit"
26,378308,"[""l""]",1,"[0.5932999999998003]","vest","l",0,"NoHit"
26,378308,"[""l""]",1,"[0.5679000000003782]","taxi","l",0,"NoHit"
26,378308,"[""d""]",0,"[0.8131000000005599]","brave","l",0,"NoHit"
26,378308,"[""l""]",1,"[2.6770999999996263]","square","l",0,"NoHit"
26,378308,"[""d""]",1,"[1.2454000000003873]","brave","d",1,"Hit"
26,378308,"[""l""]",1,"[1.3459999999999752]","unhappy","l",0,"NoHit"
26,378308,"[""l""]",1,"[2.121099999999643]","deformed","l",0,"NoHit"
