"","participant","Expra.Code","key_resp_4.keys","key_resp_4.corr","key_resp_4.rt","word","CORRanswer","trialtype","hit_NoHit"
"1",552,NA,"[""l""]",1,"[6.6933000000119165]","bless","l",0,"NoHit"
"2",552,NA,"[""l""]",1,"[1.6762000000178787]","nature","l",0,"NoHit"
"3",552,NA,"[""l""]",1,"[1.26159999999404]","carefree","l",0,"NoHit"
"4",552,NA,"[""d""]",1,"[0.9433000000119165]","nature","d",1,"Hit"
"5",552,NA,"[""l""]",1,"[2.5199000000059613]","easygoing","l",0,"NoHit"
"6",552,NA,"[""l""]",1,"[2.0599000000059604]","pillow","l",0,"NoHit"
"7",552,NA,"[""d""]",1,"[0.7704999999999984]","easygoing","d",1,"Hit"
"8",552,NA,"[""l""]",1,"[0.7420000000000044]","gentle","l",0,"NoHit"
"9",552,NA,"[""l""]",1,"[1.361200000017881]","square","l",0,"NoHit"
"10",552,NA,"[""d""]",1,"[0.7452999999821159]","gentle","d",1,"Hit"
"11",552,NA,"[""l""]",1,"[0.763799999982119]","carefree","l",0,"NoHit"
"12",552,NA,"[""l""]",1,"[0.8829000000059608]","tool","l",0,"NoHit"
"13",552,NA,"[""l""]",1,"[0.9167999999821177]","bored","l",0,"NoHit"
"14",552,NA,"[""d""]",1,"[0.7136000000238383]","tool","d",1,"Hit"
"15",552,NA,"[""l""]",1,"[0.7194999999999965]","home","l",0,"NoHit"
"16",552,NA,"[""l""]",1,"[1.000900000005963]","immature","l",0,"NoHit"
"17",552,NA,"[""d""]",1,"[0.6400000000000006]","home","d",1,"Hit"
"18",552,NA,"[""l""]",1,"[0.7706999999880821]","fault","l",0,"NoHit"
"19",552,NA,"[""l""]",1,"[0.9391999999880767]","pillow","l",0,"NoHit"
"20",552,NA,"[""l""]",1,"[0.8108000000119233]","violin","l",0,"NoHit"
"21",552,NA,"[""l""]",0,"[1.067900000005963]","violin","d",1,"Hit"
"22",552,NA,"[""l""]",1,"[1.0003000000119187]","tense","l",0,"NoHit"
"23",552,NA,"[""l""]",1,"[1.2094999999999985]","confident","l",0,"NoHit"
"24",552,NA,"[""l""]",1,"[0.9388000000119234]","bomb","l",0,"NoHit"
"25",552,NA,"[""d""]",1,"[0.7170999999940335]","confident","d",1,"Hit"
"26",552,NA,"[""l""]",1,"[0.8050000000000068]","butterfly","l",0,"NoHit"
"27",552,NA,"[""l""]",1,"[0.8674999999999926]","cheer","l",0,"NoHit"
"28",552,NA,"[""l""]",1,"[1.0970999999940432]","street","l",0,"NoHit"
"29",552,NA,"[""d""]",1,"[0.6927000000178793]","cheer","d",1,"Hit"
"30",552,NA,"[""l""]",1,"[0.6249000000059652]","taxi","l",0,"NoHit"
"31",552,NA,"[""l""]",1,"[1.0083000000119284]","adventure","l",0,"NoHit"
"32",552,NA,"[""l""]",1,"[1.0185999999940378]","crutch","l",0,"NoHit"
"33",552,NA,"[""d""]",1,"[0.7494999999999976]","adventure","d",1,"Hit"
"34",552,NA,"[""l""]",1,"[0.6995000000000005]","vest","l",0,"NoHit"
"35",552,NA,"[""l""]",1,"[1.2465999999940323]","taxi","l",0,"NoHit"
"36",552,NA,"[""l""]",1,"[0.8036999999880692]","brave","l",0,"NoHit"
"37",552,NA,"[""l""]",1,"[1.4840000000000089]","square","l",0,"NoHit"
"38",552,NA,"[""d""]",1,"[0.5623000000119163]","brave","d",1,"Hit"
"39",552,NA,"[""l""]",1,"[0.7092000000178871]","unhappy","l",0,"NoHit"
"40",552,NA,"[""l""]",1,"[0.9527999999821191]","deformed","l",0,"NoHit"
"41",552,NA,"[""l""]",1,"[1.1412999999821238]","rifle","l",0,"NoHit"
"42",552,NA,"[""d""]",1,"[0.5467000000178928]","deformed","d",1,"Hit"
"43",552,NA,"[""l""]",1,"[0.8626999999880809]","tense","l",0,"NoHit"
"44",552,NA,"[""l""]",1,"[1.0936999999880754]","inferior","l",0,"NoHit"
"45",552,NA,"[""l""]",1,"[1.4960000000000093]","exercise","l",0,"NoHit"
"46",552,NA,"[""d""]",1,"[0.6117999999821251]","inferior","d",1,"Hit"
"47",552,NA,"[""l""]",1,"[0.574799999982119]","crutch","l",0,"NoHit"
"48",552,NA,"[""l""]",1,"[1.0914000000059616]","obesity","l",0,"NoHit"
"49",552,NA,"[""l""]",1,"[1.6832999999821254]","bless","l",0,"NoHit"
"50",552,NA,"[""d""]",1,"[0.8222000000178866]","obesity","d",1,"Hit"
"51",552,NA,"[""l""]",1,"[0.6912000000178864]","pistol","l",0,"NoHit"
"52",552,NA,"[""l""]",1,"[0.9605000000000103]","bored","l",0,"NoHit"
"53",552,NA,"[""l""]",1,"[0.9258000000119182]","pity","l",0,"NoHit"
"54",552,NA,"[""l""]",1,"[1.3161999999880862]","politeness","l",0,"NoHit"
"55",552,NA,"[""d""]",1,"[0.8203000000119118]","pity","d",1,"Hit"
"56",552,NA,"[""l""]",1,"[0.8198000000119237]","beautiful","l",0,"NoHit"
"57",552,NA,"[""l""]",1,"[0.8847000000178724]","street","l",0,"NoHit"
"58",552,NA,"[""d""]",1,"[0.5902000000178873]","beautiful","d",1,"Hit"
"59",552,NA,"[""l""]",1,"[0.7279999999999944]","aroused","l",0,"NoHit"
"60",552,NA,"[""l""]",1,"[0.8346999999880751]","demon","l",0,"NoHit"
"61",552,NA,"[""d""]",1,"[0.715999999999994]","aroused","d",1,"Hit"
"62",552,NA,"[""l""]",1,"[0.5291000000238455]","cash","l",0,"NoHit"
"63",552,NA,"[""l""]",1,"[1.2466999999880812]","immature","l",0,"NoHit"
"64",552,NA,"[""l""]",1,"[1.0883000000119267]","cheer","l",0,"NoHit"
"65",552,NA,"[""l""]",0,"[1.5951000000238338]","cheer","d",1,"Hit"
"66",552,NA,"[""l""]",1,"[2.2883000000119296]","controlling","l",0,"NoHit"
"67",552,NA,"[""l""]",1,"[1.1234000000059723]","messy","l",0,"NoHit"
"68",552,NA,"[""l""]",1,"[1.0266999999880824]","cliff","l",0,"NoHit"
"69",552,NA,"[""l""]",1,"[0.9822999999821178]","butterfly","l",0,"NoHit"
"70",552,NA,"[""d""]",1,"[0.7740000000000009]","cliff","d",1,"Hit"
"71",552,NA,"[""l""]",1,"[0.7759999999999962]","erotic","l",0,"NoHit"
"72",552,NA,"[""l""]",1,"[1.0060000000000002]","vest","l",0,"NoHit"
"73",552,NA,"[""l""]",1,"[1.161199999988085]","dazzle","l",0,"NoHit"
"74",552,NA,"[""l""]",1,"[1.0829999999999984]","disloyal","l",0,"NoHit"
"75",552,NA,"[""d""]",1,"[0.9828000000119204]","dazzle","d",1,"Hit"
"76",552,NA,"[""l""]",1,"[1.3504999999999967]","defiant","l",0,"NoHit"
"77",552,NA,"[""l""]",1,"[1.3059000000059626]","fault","l",0,"NoHit"
"78",552,NA,"[""d""]",1,"[0.6502000000178754]","defiant","d",1,"Hit"
"79",552,NA,"[""l""]",1,"[0.4587999999821193]","shotgun","l",0,"NoHit"
"80",552,NA,"[""l""]",1,"[0.7551000000238446]","revolt","l",0,"NoHit"
"81",552,NA,"[""l""]",1,"[1.0683999999761653]","unhappy","l",0,"NoHit"
"82",552,NA,"[""d""]",1,"[0.5936999999880896]","revolt","d",1,"Hit"
"83",552,NA,"[""l""]",1,"[0.7239000000059548]","car","l",0,"NoHit"
"84",552,NA,"[""l""]",1,"[1.1122999999821275]","fight","l",0,"NoHit"
"85",552,NA,"[""l""]",1,"[1.2130999999940428]","obsession","l",0,"NoHit"
"86",552,NA,"[""l""]",0,"[1.0218000000119218]","obsession","d",1,"Hit"
"87",552,NA,"[""l""]",1,"[1.83270000001788]","messy","l",0,"NoHit"
"88",552,NA,"[""l""]",1,"[1.116800000011935]","anger","l",0,"NoHit"
"89",552,NA,"[""l""]",1,"[0.9906999999880668]","exercise","l",0,"NoHit"
"90",552,NA,"[""d""]",1,"[0.7328000000119061]","anger","d",1,"Hit"
"91",552,NA,"[""l""]",1,"[0.6127000000178668]","suspicious","l",0,"NoHit"
"92",552,NA,"[""l""]",1,"[1.0032999999821186]","politeness","l",0,"NoHit"
"93",552,NA,"[""d""]",1,"[0.8168000000119093]","suspicious","d",1,"Hit"
"94",552,NA,"[""l""]",1,"[0.5906999999880611]","shark","l",0,"NoHit"
"95",552,NA,"[""l""]",1,"[0.8037000000178693]","detest","l",0,"NoHit"
"96",552,NA,"[""d""]",1,"[0.6823999999761554]","shark","d",1,"Hit"
"97",552,NA,"[""l""]",1,"[0.5056999999880816]","cash","l",0,"NoHit"
"98",552,NA,"[""l""]",1,"[1.2659999999999911]","cancer","l",0,"NoHit"
"99",552,NA,"[""l""]",1,"[1.6634000000059643]","pistol","l",0,"NoHit"
"100",552,NA,"[""d""]",1,"[0.83570000001788]","cancer","d",1,"Hit"
