illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
0,0,0,0,1,slide 1.jpg,'space’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[6.828299999999814],0,0,0,0,1,bless,l,0,NoHit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1894000000003757],0,1,1,1,1,nature,l,0,NoHit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.5544000000003706],0,2,2,2,1,carefree,l,0,NoHit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.7146000000000896],0,3,3,3,1,nature,d,1,Hit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.4964999999999975],0,4,4,4,1,easygoing,l,0,NoHit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.998800000000287],0,5,5,5,1,pillow,l,0,NoHit
,,,,,,,5,824852,2021-12-27_17h26.25.737,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.5658999999998997],0,6,6,6,1,easygoing,d,1,Hit
