instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.9327,4,1.1625,0,0,0,41,1,stimuli/objects/electricoutlet.jpg,Electronic device & accessory,old,left,42,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,3.4336,2,1.2195,0,1,1,14,1,stimuli/objects/potatomasher03b.jpg,Kitchen & utensil,old,left,15,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.0331,4,1.4646,0,2,2,57,1,stimuli/objects/icebucket.jpg,Kitchen & utensil,old,left,58,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,3.5864,2,0.5666,0,3,3,43,1,stimuli/objects/tripod01.jpg,Electronic device & accessory,new,right,44,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.5096,4,0.7403,0,4,4,62,1,stimuli/objects/cakeplatter.jpg,Kitchen & utensil,old,left,63,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.4713,2,0.4124,0,5,5,5,1,stimuli/objects/dvdcase01.jpg,Electronic device & accessory,new,right,6,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.0361,1,0.5773,0,6,6,80,1,stimuli/objects/icecubetray01a.jpg,Kitchen & utensil,new,right,81,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,5.0208,2,1.3527,0,7,7,50,1,stimuli/objects/cellphone.jpg,Electronic device & accessory,new,right,51,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.3529,3,2.5482,0,8,8,16,1,stimuli/objects/mitresaw.jpg,Hand labour tool & accessory,new,right,17,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.5156,2,0.3483,0,9,9,53,1,stimuli/objects/wafflemaker.jpg,Kitchen & utensil,new,right,54,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.7365,4,1.6951,0,10,10,0,1,stimuli/objects/spatula03.jpg,Kitchen & utensil,old,left,1,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.5315,4,0.726,0,11,11,54,1,stimuli/objects/painttray.jpg,Hand labour tool & accessory,old,left,55,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.4507,3,0.3667,0,12,12,31,1,stimuli/objects/waterbottle03.jpg,Kitchen & utensil,old,left,32,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,3.7646,2,0.6649,0,13,13,24,1,stimuli/objects/hockeypuck.jpg,Outdoor activity & sport item,new,right,25,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.269,4,0.5839,0,14,14,66,1,stimuli/objects/chocolatefonduedish.jpg,Kitchen & utensil,old,left,67,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.0211,4,0.3818,0,15,15,4,1,stimuli/objects/peeler01.jpg,Kitchen & utensil,old,left,5,,,,,,,,
,,,,,,,,6,,2021-12-30_11h43.17.813,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,5.8436,2,0.4392,0,16,16,58,1,stimuli/objects/fishingrod.jpg,Outdoor activity & sport item,new,right,59,,,,,,,,
