instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.5871,4,2.4136,0,0,0,40,1,stimuli/objects/surfboard.jpg,old,left,41,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.66,4,1.1569,0,1,1,21,1,stimuli/objects/ipod.jpg,old,left,22,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.555,2,2.7449,0,2,2,62,1,stimuli/objects/cakeplatter.jpg,old,left,63,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.1753,4,1.5743,0,3,3,36,1,stimuli/objects/breadknife.jpg,old,left,37,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.3802,2,4.8783,0,4,4,75,1,stimuli/objects/styrofoamcup.jpg,new,right,76,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5567,3,1.3478,0,5,5,10,1,stimuli/objects/desktopcomputer.jpg,old,left,11,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.5155,3,2.893,0,6,6,54,1,stimuli/objects/painttray.jpg,old,left,55,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4624,4,2.0333,0,7,7,11,1,stimuli/objects/bikepump01.jpg,old,left,12,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.5999,2,2.9471,0,8,8,70,1,stimuli/objects/solderingiron.jpg,new,right,71,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4714,4,1.7422,0,9,9,27,1,stimuli/objects/avcable.jpg,old,left,28,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7266,4,1.0025,0,10,10,53,1,stimuli/objects/wafflemaker.jpg,new,right,54,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.8537,2,0.7923,0,11,11,78,1,stimuli/objects/webcam.jpg,new,right,79,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.9958,4,1.6487,0,12,12,31,1,stimuli/objects/waterbottle03.jpg,old,left,32,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.7452,2,1.9753,0,13,13,30,1,stimuli/objects/videocamera01a.jpg,old,left,31,,,,,,,,
,,,,,,,,14,,2021-12-19_23h01.32.380,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7125,4,1.5084,0,14,14,81,1,stimuli/objects/outletadapter.jpg,new,right,82,,,,,,,,
