instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,5.9531,4,2.5832,0,0,0,23,1,stimuli/objects/dishrack.jpg,Kitchen & utensil,old,left,24,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.6112,4,0.9372,0,1,1,50,1,stimuli/objects/hockeygoaliemask.jpg,Outdoor activity & sport item,new,right,51,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.8224,2,1.033,0,2,2,12,1,stimuli/objects/fanblades.jpg,Electronic device & accessory,new,right,13,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,4.3771,1,0.9272,0,3,3,89,1,stimuli/objects/minifridge.jpg,Kitchen & utensil,old,left,90,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5496,4,1.292,0,4,4,24,1,stimuli/objects/fuse.jpg,Electronic device & accessory,new,right,25,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.365,4,0.3364,0,5,5,71,1,stimuli/objects/contactlens.jpg,Kitchen & utensil,new,right,72,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.7383,3,7.6931,0,6,6,36,1,stimuli/objects/microphone01.jpg,Electronic device & accessory,new,right,37,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,21.9486,3,1.5455,0,7,7,9,1,stimuli/objects/aluminiumfoil.jpg,Kitchen & utensil,new,right,10,,,,,,,,
,,,,,,,,15,308395,2021-12-28_10h54.11.752,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.6711,2,0.6022,0,8,8,68,1,stimuli/objects/bowl02a.jpg,Kitchen & utensil,old,left,69,,,,,,,,
