illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
0,0,0,0,1,slide 1.jpg,'space’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[9.583699999988085],0,0,0,0,1,bless,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.4623000000119077],0,1,1,1,1,nature,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.9751999999880354],0,2,2,2,1,carefree,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7715000000000032],0,3,3,3,1,nature,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.612400000035791],0,4,4,4,1,easygoing,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8108000000119091],0,5,5,5,1,pillow,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.8124000000357228],0,6,6,6,1,easygoing,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[2.1737000000476883],0,7,7,7,1,gentle,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.63900000000001],0,8,8,8,1,square,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.7121000000238382],0,9,9,9,1,gentle,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.375900000035756],0,10,10,10,1,carefree,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.0089000000357373],0,11,11,11,1,tool,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7090999999642804],0,12,12,12,1,bored,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[4.094499999999982],0,13,13,13,1,tool,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8525000000000205],0,14,14,14,1,home,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.771000000000015],0,15,15,15,1,immature,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.804099999964194],0,16,16,16,1,home,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.8965000000000032],0,17,17,17,1,fault,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[1.2208999999761545],0,18,18,18,1,pillow,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.9331000000238419],0,19,19,19,1,violin,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0478999999761527],0,20,20,20,1,violin,d,1,Hit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[12.181400000035751],0,21,21,21,1,tense,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7521999999880791],0,22,22,22,1,confident,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",0,[0.7950000000000159],0,23,23,23,1,bomb,l,0,NoHit
,,,,,,,17,,2022-01-09_23h11.39.109,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[0.8701000000238537],0,24,24,24,1,confident,d,1,Hit
