illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
0,0,0,0,1,slide 1.jpg,'space’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[3.7247999999970176],0,0,0,0,1,bless,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.5009999999999906],0,1,1,1,1,nature,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.4007000000029706],0,2,2,2,1,carefree,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[2.2519999999999953],0,3,3,3,1,nature,d,1,Hit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.5648999999985165],0,4,4,4,1,easygoing,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1673999999985085],0,5,5,5,1,pillow,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[6.60219999999552],0,6,6,6,1,easygoing,d,1,Hit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.017300000004468],0,7,7,7,1,gentle,l,0,NoHit
,,,,,,,2,473878,2021-12-23_12h57.45.785,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1167999999970277],0,8,8,8,1,square,l,0,NoHit
