slides,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,condition,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,respcorrs,myownaccuracy,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,taskprep0.started,taskprep0.stopped,taskGo.started,taskGo.stopped,taskGoresp.keys,taskGoresp.rt,taskGoresp.started,taskGoresp.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,feedbImage.started,feedbImage.stopped,rep_resp.keys,rep_resp.rt,rep_resp.started,rep_resp.stopped,task_response.keys,task_response.corr,task_response.rt,feedbImage_2.started,feedbImage_2.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],space,0.3186210919957375,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide1.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.14257101400289685,6.509687444005976,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide2.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.10779590399761219,6.692663799010916,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide3.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.14278059601201676,6.840952970000217,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide4.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.1251780470047379,7.026414075007779,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide5.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.14070167200407013,7.191648275009356,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
stimuli/slide6.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.158345845004078,7.372372929006815,None,,,,,,,,,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.540827687000274,None,7.7430774540116545,None,space,0.16724265800439753,7.7430774540116545,None,,,,,,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,0,0.16698593499313574,10.503436925006099,11.015564265006105,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,1,0,0.5678726350015495,14.644949350011302,15.156818292001844,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,0.8517744879936799,19.95111482500215,20.45024819500395,space,0.8333005059976131,15.860270646007848,None,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,2,0,0.7663919610058656,24.31673106600647,24.825275392009644,,,,,,,,,,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/spotlight.jpg,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,n,2.905651560999104,25.543460740009323,None,1,0,0.5676258290041005,37.576596782004344,38.083931033004774,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/peppermill02b.jpg,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.11707340100838337,41.279736651005805,41.79103627600125,111,,2021_Dez_03_1733,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.86567889534072,
