myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,instruction_loop.ran,slides,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img
[],[],10,10,space,4.5213,space,1.7359,0,0,0,0,1,stimuli/slide1.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,0.8898,0,1,1,1,1,stimuli/slide2.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,40.9428,0,2,2,2,1,stimuli/slide3.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,14.4503,0,3,3,3,1,stimuli/slide4.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,8.7336,0,4,4,4,1,stimuli/slide5.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,3.914,0,5,5,5,1,stimuli/slide6.png,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,
1,[],,,,,,,,,,,,,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,space,5.3847,1,1,1.1225,1,0,0,0,0,1,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg
0,[1],,,,,,,,,,,,,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,2,0,1.7341,1,0,1,1,1,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg
0,[1],,,,,,,,,,,,,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,3,0,1.1557,1,0,2,2,2,1,stimuli/m_blue.jpg,stimuli/Vehicle.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,0,Food,4,0,stimuli/objects/cracker02.jpg
1,[1],,,,,,,,,,,,,993,,2021-12-02_13h04.43.502,MemLear_ses-01_part-01_label-phase1,2020.1.3,Linux x86_64,60,,,4,1,2.6405,1,0,3,3,3,1,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Food.png,1,Food,4,1,stimuli/objects/hotdog.jpg
