illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit
0,0,0,0,1,slide 1.jpg,'space’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,,,,,,,,,,,,
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1850000000000023],0,0,0,0,1,bless,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9709999999999894],0,1,1,1,1,nature,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8539999999999992],0,2,2,2,1,carefree,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0170000000000101],0,3,3,3,1,nature,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7669999999999959],0,4,4,4,1,easygoing,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7850000000000108],0,5,5,5,1,pillow,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8529999999999944],0,6,6,6,1,easygoing,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9830000000000041],0,7,7,7,1,gentle,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8840000000000003],0,8,8,8,1,square,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.806999999999988],0,9,9,9,1,gentle,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1500000000000057],0,10,10,10,1,carefree,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.0999999999999943],0,11,11,11,1,tool,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.75],0,12,12,12,1,bored,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.9440000000000168],0,13,13,13,1,tool,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8349999999999795],0,14,14,14,1,home,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9729999999999848],0,15,15,15,1,immature,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.056999999999988],0,16,16,16,1,home,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9669999999999845],0,17,17,17,1,fault,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6019999999999754],0,18,18,18,1,pillow,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8509999999999991],0,19,19,19,1,violin,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[1.2340000000000089],0,20,20,20,1,violin,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8009999999999877],0,21,21,21,1,tense,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8680000000000234],0,22,22,22,1,confident,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7860000000000014],0,23,23,23,1,bomb,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0420000000000016],0,24,24,24,1,confident,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9250000000000114],0,25,25,25,1,butterfly,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7439999999999998],0,26,26,26,1,cheer,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6999999999999886],0,27,27,27,1,street,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.257000000000005],0,28,28,28,1,cheer,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6359999999999957],0,29,29,29,1,taxi,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9409999999999741],0,30,30,30,1,adventure,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9860000000000184],0,31,31,31,1,crutch,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.3019999999999925],0,32,32,32,1,adventure,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5420000000000016],0,33,33,33,1,vest,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.2349999999999852],0,34,34,34,1,taxi,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9000000000000057],0,35,35,35,1,brave,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.2230000000000132],0,36,36,36,1,square,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[1.0749999999999886],0,37,37,37,1,brave,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.233000000000004],0,38,38,38,1,unhappy,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7860000000000014],0,39,39,39,1,deformed,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.875],0,40,40,40,1,rifle,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.9340000000000259],0,41,41,41,1,deformed,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8340000000000032],0,42,42,42,1,tense,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8340000000000032],0,43,43,43,1,inferior,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9549999999999841],0,44,44,44,1,exercise,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8760000000000048],0,45,45,45,1,inferior,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6690000000000111],0,46,46,46,1,crutch,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.0339999999999918],0,47,47,47,1,obesity,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9000000000000057],0,48,48,48,1,bless,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8739999999999952],0,49,49,49,1,obesity,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7409999999999854],0,50,50,50,1,pistol,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7510000000000048],0,51,51,51,1,bored,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7889999999999873],0,52,52,52,1,pity,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.0679999999999836],0,53,53,53,1,politeness,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8769999999999811],0,54,54,54,1,pity,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5340000000000202],0,55,55,55,1,beautiful,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8720000000000141],0,56,56,56,1,street,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.7069999999999936],0,57,57,57,1,beautiful,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5169999999999959],0,58,58,58,1,aroused,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.86099999999999],0,59,59,59,1,demon,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.7390000000000043],0,60,60,60,1,aroused,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8520000000000039],0,61,61,61,1,cash,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.082000000000022],0,62,62,62,1,immature,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[1.1189999999999998],0,63,63,63,1,cheer,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",0,[1.4369999999999834],0,64,64,64,1,cheer,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7579999999999814],0,65,65,65,1,controlling,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7069999999999936],0,66,66,66,1,messy,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6510000000000105],0,67,67,67,1,cliff,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7230000000000132],0,68,68,68,1,butterfly,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.2420000000000186],0,69,69,69,1,cliff,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5849999999999795],0,70,70,70,1,erotic,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5769999999999982],0,71,71,71,1,vest,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6020000000000039],0,72,72,72,1,dazzle,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.6709999999999923],0,73,73,73,1,disloyal,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.9440000000000168],0,74,74,74,1,dazzle,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.46100000000001273],0,75,75,75,1,defiant,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.5529999999999973],0,76,76,76,1,fault,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[1.0150000000000148],0,77,77,77,1,defiant,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.4240000000000066],0,78,78,78,1,shotgun,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.8050000000000068],0,79,79,79,1,revolt,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.7590000000000146],0,80,80,80,1,unhappy,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""d""]",1,[0.8850000000000193],0,81,81,81,1,revolt,d,1,Hit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.4440000000000168],0,82,82,82,1,car,l,0,NoHit
,,,,,,,22,990214,2021-12-20_15h36.11.847,MemLear_ses-01_part-02_label-nBack,2020.1.3,Win32,60,"[""l""]",1,[0.9070000000000107],0,83,83,83,1,fight,l,0,NoHit
