instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.3394,4,4.3994,0,0,0,63,1,stimuli/objects/peppermill02b.jpg,old,left,64,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,4.2057,4,2.2994,0,1,1,85,1,stimuli/objects/muffintray01.jpg,old,left,86,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.7419,4,1.1016,0,2,2,71,1,stimuli/objects/contactlens.jpg,new,right,72,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.6888,4,1.2944,0,3,3,32,1,stimuli/objects/thermos.jpg,new,right,33,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.6145,4,1.4376,0,4,4,13,1,stimuli/objects/cakeplatter.jpg,old,left,14,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.2126,4,0.9052,0,5,5,1,1,stimuli/objects/fork03c.jpg,old,left,2,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.8692,4,2.7068,0,6,6,26,1,stimuli/objects/nutcracker01.jpg,new,right,27,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.145,4,2.7121,0,7,7,43,1,stimuli/objects/umbrella04.jpg,old,left,44,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1685,4,1.9092,0,8,8,40,1,stimuli/objects/beermug01a.jpg,old,left,41,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.8433,4,1.7073,0,9,9,73,1,stimuli/objects/djmixer02.jpg,old,left,74,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1364,4,0.6846,0,10,10,30,1,stimuli/objects/cleaver01.jpg,old,left,31,,,,,,,,
,,,,,,,,11,,2021-12-17_18h40.34.540,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5761,4,0.6872,0,11,11,83,1,stimuli/objects/spotlight.jpg,old,left,84,,,,,,,,
