instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4244,2,1.3515,0,0,0,25,1,stimuli/objects/handmixer01d.jpg,old,left,26
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.6341,3,0.2928,0,1,1,74,1,stimuli/objects/podium.jpg,old,left,75
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2771,2,0.1709,0,2,2,20,1,stimuli/objects/lightswitch01.jpg,old,left,21
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.2388,4,0.4075,0,3,3,76,1,stimuli/objects/nintendods.jpg,old,left,77
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3232,2,0.0973,0,4,4,66,1,stimuli/objects/martiniglass01b.jpg,old,left,67
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.2319,2,1.2807,0,5,5,67,1,stimuli/objects/corkscrew03a.jpg,new,right,68
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.4961,1,0.1988,0,6,6,24,1,stimuli/objects/funnel.jpg,old,left,25
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.5058,2,0.0371,0,7,7,15,1,stimuli/objects/coffeemaker.jpg,old,left,16
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.489,3,0.6273,0,8,8,2,1,stimuli/objects/cakeplatter.jpg,old,left,3
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.6094,4,0.6188,0,9,9,0,1,stimuli/objects/ramekin01.jpg,old,left,1
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.4023,2,0.079,0,10,10,29,1,stimuli/objects/anchor.jpg,new,right,30
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3093,1,0.4528,0,11,11,79,1,stimuli/objects/servingspoon01.jpg,old,left,80
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.6881,2,0.0574,0,12,12,10,1,stimuli/objects/espressomachine.jpg,new,right,11
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.422,3,0.5132,0,13,13,77,1,stimuli/objects/filmroll.jpg,old,left,78
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.7515,4,0.3115,0,14,14,36,1,stimuli/objects/filmnegative.jpg,old,left,37
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.5654,2,0.5637,0,15,15,53,1,stimuli/objects/fanheater.jpg,old,left,54
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1681,1,0.4081,0,16,16,62,1,stimuli/objects/cuttingpliers02.jpg,old,left,63
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.5065,4,0.472,0,17,17,41,1,stimuli/objects/thermos.jpg,new,right,42
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1922,2,0.389,0,18,18,9,1,stimuli/objects/hockeypuck.jpg,new,right,10
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6614,2,0.2696,0,19,19,87,1,stimuli/objects/bottleopener01.jpg,new,right,88
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.5644,4,0.3373,0,20,20,8,1,stimuli/objects/usbcable01a.jpg,new,right,9
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.4389,2,0.3159,0,21,21,85,1,stimuli/objects/toyhockeystick01.jpg,old,left,86
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3354,3,0.2475,0,22,22,44,1,stimuli/objects/squeegee01b.jpg,old,left,45
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6609,3,0.2451,0,23,23,59,1,stimuli/objects/cuttingboard.jpg,old,left,60
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3596,3,0.2557,0,24,24,84,1,stimuli/objects/screwdriver04b.jpg,new,right,85
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.271,3,0.2488,0,25,25,68,1,stimuli/objects/scanner.jpg,old,left,69
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.3083,3,0.2275,0,26,26,17,1,stimuli/objects/carlighter02.jpg,old,left,18
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.4394,3,0.2774,0,27,27,46,1,stimuli/objects/ipod.jpg,old,left,47
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2792,2,0.3437,0,28,28,18,1,stimuli/objects/tablesaw.jpg,old,left,19
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.4728,2,0.5299,0,29,29,42,1,stimuli/objects/mitresaw.jpg,new,right,43
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6276,2,0.4307,0,30,30,80,1,stimuli/objects/crocodileclips.jpg,old,left,81
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.4472,1,0.3875,0,31,31,19,1,stimuli/objects/usbkey.jpg,old,left,20
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2642,2,0.3197,0,32,32,27,1,stimuli/objects/cashregister01.jpg,old,left,28
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6004,4,0.3895,0,33,33,26,1,stimuli/objects/megaphone.jpg,new,right,27
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.5074,3,0.4316,0,34,34,33,1,stimuli/objects/fork03c.jpg,old,left,34
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.4846,3,0.3804,0,35,35,58,1,stimuli/objects/soundmixer.jpg,old,left,59
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3398,2,0.3538,0,36,36,61,1,stimuli/objects/minifridge.jpg,old,left,62
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.3777,2,0.4197,0,37,37,70,1,stimuli/objects/wateringcan.jpg,old,left,71
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.2921,2,0.2405,0,38,38,34,1,stimuli/objects/freezer02.jpg,old,left,35
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.3303,3,0.1151,0,39,39,57,1,stimuli/objects/umbrella04.jpg,old,left,58
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.2994,2,0.7346,0,40,40,55,1,stimuli/objects/tupperware03a.jpg,old,left,56
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.7894,3,0.6387,0,41,41,56,1,stimuli/objects/gravyboat.jpg,new,right,57
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.362,3,0.8955,0,42,42,65,1,stimuli/objects/antenna.jpg,new,right,66
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.6381,2,0.0003,0,43,43,73,1,stimuli/objects/oven.jpg,old,left,74
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.1982,2,0.2874,0,44,44,78,1,stimuli/objects/painttray.jpg,old,left,79
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.5296,3,0.3383,0,45,45,4,1,stimuli/objects/toaster01.jpg,new,right,5
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.5123,2,0.2341,0,46,46,54,1,stimuli/objects/dishrack.jpg,old,left,55
,,,,,,,,992,,2021-12-02_12h37.57.053,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.6155,3,0.2895,0,47,47,83,1,stimuli/objects/knifesharpener.jpg,old,left,84
