instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.4017,1,1.216,0,0,0,52,1,stimuli/objects/ethernetcable02.jpg,new,right,53,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.5198,1,0.7478,0,1,1,48,1,stimuli/objects/contactlens.jpg,new,right,49,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.4012,1,0.435,0,2,2,85,1,stimuli/objects/toyhockeystick01.jpg,old,left,86,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,0.8399,1,0.4539,0,3,3,25,1,stimuli/objects/handmixer01d.jpg,old,left,26,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.4292,2,1.7418,0,4,4,2,1,stimuli/objects/cakeplatter.jpg,old,left,3,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.7622,2,0.522,0,5,5,0,1,stimuli/objects/ramekin01.jpg,old,left,1,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1383,2,0.4464,0,6,6,82,1,stimuli/objects/desktopcomputer.jpg,old,left,83,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.8044,3,2.6311,0,7,7,12,1,stimuli/objects/fryingpan02a.jpg,old,left,13,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.8246,4,2.0541,0,8,8,78,1,stimuli/objects/painttray.jpg,old,left,79,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.3142,4,1.0502,0,9,9,74,1,stimuli/objects/podium.jpg,old,left,75,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1749,4,0.5669,0,10,10,22,1,stimuli/objects/bowl02a.jpg,old,left,23,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.2147,1,0.8553,0,11,11,31,1,stimuli/objects/potatomasher03b.jpg,old,left,32,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.1341,2,0.7543,0,12,12,15,1,stimuli/objects/coffeemaker.jpg,old,left,16,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,4.6374,2,2.0595,0,13,13,49,1,stimuli/objects/battery02b.jpg,old,left,50,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4381,3,0.7889,0,14,14,41,1,stimuli/objects/thermos.jpg,new,right,42,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.9558,3,0.779,0,15,15,23,1,stimuli/objects/camera01a.jpg,old,left,24,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.6824,1,0.6354,0,16,16,58,1,stimuli/objects/soundmixer.jpg,old,left,59,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.9422,2,1.3335,0,17,17,56,1,stimuli/objects/gravyboat.jpg,new,right,57,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.5057,3,0.9309,0,18,18,13,1,stimuli/objects/breadknife.jpg,old,left,14,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.9205,4,1.1669,0,19,19,9,1,stimuli/objects/hockeypuck.jpg,new,right,10,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1656,3,1.7712,0,20,20,19,1,stimuli/objects/usbkey.jpg,old,left,20,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.5622,3,1.9418,0,21,21,11,1,stimuli/objects/pitcher02b.jpg,old,left,12,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,9.324,4,1.1697,0,22,22,18,1,stimuli/objects/tablesaw.jpg,old,left,19,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6918,1,0.9276,0,23,23,46,1,stimuli/objects/ipod.jpg,old,left,47,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.8859,3,1.0846,0,24,24,67,1,stimuli/objects/corkscrew03a.jpg,new,right,68,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.1816,3,0.733,0,25,25,34,1,stimuli/objects/freezer02.jpg,old,left,35,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.4932,3,0.7016,0,26,26,53,1,stimuli/objects/fanheater.jpg,old,left,54,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3608,4,0.9584,0,27,27,87,1,stimuli/objects/bottleopener01.jpg,new,right,88,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.458,2,1.127,0,28,28,89,1,stimuli/objects/strainer01b.jpg,new,right,90,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3368,4,1.0144,0,29,29,76,1,stimuli/objects/nintendods.jpg,old,left,77,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.2906,3,0.7385,0,30,30,80,1,stimuli/objects/crocodileclips.jpg,old,left,81,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,7.432,2,4.0572,0,31,31,65,1,stimuli/objects/antenna.jpg,new,right,66,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.6703,4,1.4411,0,32,32,33,1,stimuli/objects/fork03c.jpg,old,left,34,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,3.8045,4,0.5917,0,33,33,26,1,stimuli/objects/megaphone.jpg,new,right,27,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.3278,3,0.5947,0,34,34,16,1,stimuli/objects/walkman.jpg,old,left,17,,,,,,,,
,,,,,,,,552,,2021-12-05_18h50.38.644,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.7276,1,0.9877,0,35,35,8,1,stimuli/objects/usbcable01a.jpg,new,right,9,,,,,,,,
