instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.159,4,2.132,0,0,0,40,1,stimuli/objects/surfboard.jpg,old,left,41,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.931,1,1.521,0,1,1,35,1,stimuli/objects/alarmclock01.jpg,new,right,36,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.575,3,0.271,0,2,2,12,1,stimuli/objects/handmixer01d.jpg,old,left,13,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.098,4,0.129,0,3,3,60,1,stimuli/objects/swimgoggles.jpg,old,left,61,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,3.142,1,0.329,0,4,4,13,1,stimuli/objects/gps.jpg,old,left,14,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.158,4,0.002,0,5,5,21,1,stimuli/objects/ipod.jpg,old,left,22,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.958,2,0.323,0,6,6,77,1,stimuli/objects/snowshovel.jpg,old,left,78,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.409,2,0.511,0,7,7,79,1,stimuli/objects/golfbag.jpg,old,left,80,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.276,4,0.599,0,8,8,48,1,stimuli/objects/spotlight.jpg,old,left,49,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.304,1,0.333,0,9,9,20,1,stimuli/objects/bottleopener01.jpg,new,right,21,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.131,4,0.329,0,10,10,47,1,stimuli/objects/photocopier.jpg,old,left,48,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,2.018,2,0.457,0,11,11,23,1,stimuli/objects/foodprocessor.jpg,new,right,24,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.235,4,0.359,0,12,12,55,1,stimuli/objects/expansioncard.jpg,old,left,56,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.569,1,0.176,0,13,13,43,1,stimuli/objects/tripod01.jpg,new,right,44,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.809,1,0.709,0,14,14,53,1,stimuli/objects/wafflemaker.jpg,new,right,54,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.253,4,0.164,0,15,15,85,1,stimuli/objects/spicerack.jpg,old,left,86,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,1.45,4,0.13,0,16,16,51,1,stimuli/objects/tupperware03a.jpg,old,left,52,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.935,3,0.778,0,17,17,39,1,stimuli/objects/phonejack.jpg,old,left,40,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.737,4,0.355,0,18,18,36,1,stimuli/objects/breadknife.jpg,old,left,37,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,2.655,1,0.328,0,19,19,80,1,stimuli/objects/icecubetray01a.jpg,new,right,81,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.136,1,0.393,0,20,20,37,1,stimuli/objects/megaphone.jpg,new,right,38,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.998,4,1.253,0,21,21,34,1,stimuli/objects/charcoalbarbecue.jpg,old,left,35,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,right,1.569,1,0.323,0,22,22,28,1,stimuli/objects/microphone01.jpg,new,right,29,,,,,,,,
,,,,,,,,22,990214,2021-12-20_15h41.33.936,MemLear_ses-01_part-02_label-phase2,2020.1.3,Win32,60,left,0.78,4,0.154,0,23,23,14,1,stimuli/objects/potatomasher03b.jpg,old,left,15,,,,,,,,
