instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,instructions_loop.ran,text1,text2,text3,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,recog_resp.keys,recog_resp.rt,conf_resp.keys,conf_resp.rt,recog_loop.thisRepN,recog_loop.thisTrialN,recog_loop.thisN,recog_loop.thisIndex,recog_loop.ran,images,modal_categ,type,corr_ans,order,key_resp_break.keys,key_resp_break.rt,list_loop.thisRepN,list_loop.thisTrialN,list_loop.thisN,list_loop.thisIndex,list_loop.ran,recog_list
0,0,0,0,1,Welcome to the last phase of this experiment!,.,Please press the space bar to continue,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,.,"In this phase, you will see some objects. 

For each object, you should indicate whether you have seen it before during the experiment.

Press LEFT ARROW for YES
Press RIGHT ARROW for NO

",Please press the space bar to continue ,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,4.0292,3,4.4558,0,0,0,22,1,stimuli/objects/outletadapter.jpg,Electronic device & accessory,new,right,23,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.0296,1,1.6869,0,1,1,11,1,stimuli/objects/usbcable01a.jpg,Electronic device & accessory,new,right,12,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.2069,1,0.9351,0,2,2,51,1,stimuli/objects/photocopier.jpg,Electronic device & accessory,old,left,52,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.1414,1,0.8288,0,3,3,30,1,stimuli/objects/cleaver01.jpg,Kitchen & utensil,old,left,31,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.0955,1,0.8172,0,4,4,41,1,stimuli/objects/beachumbrella01.jpg,Outdoor activity & sport item,old,left,42,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,0.9264,1,1.0312,0,5,5,49,1,stimuli/objects/usbkey.jpg,Electronic device & accessory,old,left,50,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.6107,3,1.7091,0,6,6,72,1,stimuli/objects/cellphone.jpg,Electronic device & accessory,new,right,73,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,0.9181,1,1.0126,0,7,7,85,1,stimuli/objects/muffintray01.jpg,Kitchen & utensil,old,left,86,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.1718,2,1.3653,0,8,8,36,1,stimuli/objects/microphone01.jpg,Electronic device & accessory,new,right,37,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.4106,4,2.262,0,9,9,84,1,stimuli/objects/podium.jpg,Outdoor activity & sport item,old,left,85,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,2.101,2,5.8431,0,10,10,4,1,stimuli/objects/fanheater.jpg,Electronic device & accessory,old,left,5,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,3.0936,2,3.5673,0,11,11,75,1,stimuli/objects/shotglass.jpg,Kitchen & utensil,old,left,76,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0817,4,2.3032,0,12,12,26,1,stimuli/objects/nutcracker01.jpg,Kitchen & utensil,new,right,27,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,3.519,3,2.3605,0,13,13,1,1,stimuli/objects/fork03c.jpg,Kitchen & utensil,old,left,2,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.5626,3,1.0976,0,14,14,19,1,stimuli/objects/fan.jpg,Electronic device & accessory,new,right,20,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,left,1.6671,3,2.4611,0,15,15,10,1,stimuli/objects/adjustablewrench01b.jpg,Hand labour tool & accessory,old,left,11,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.0704,3,2.1662,0,16,16,80,1,stimuli/objects/ladder.jpg,Hand labour tool & accessory,new,right,81,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,1.104,4,1.158,0,17,17,48,1,stimuli/objects/toasteroven.jpg,Kitchen & utensil,old,left,49,,,,,,,,
,,,,,,,,23,277170,2021-12-21_10h58.07.111,MemLear_ses-01_part-02_label-phase2,2020.1.3,MacIntel,60,right,2.366,2,1.0165,0,18,18,42,1,stimuli/objects/microwave.jpg,Kitchen & utensil,new,right,43,,,,,,,,
