slides,character,left_categ,centleft_categ,centright_categ,right_categ,trial_cond,corr_ans,corr_ans_num,type,img,condition,instruction_loop.thisRepN,instruction_loop.thisTrialN,instruction_loop.thisN,instruction_loop.thisIndex,repeat_practice.thisRepN,repeat_practice.thisTrialN,repeat_practice.thisN,repeat_practice.thisIndex,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,respcorrs,myownaccuracy,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,taskprep0.started,taskprep0.stopped,taskGo.started,taskGo.stopped,taskGoresp.keys,taskGoresp.rt,taskGoresp.started,taskGoresp.stopped,pract_resp.keys,pract_resp.corr,pract_resp.rt,feedbImage.started,feedbImage.stopped,rep_resp.keys,rep_resp.rt,rep_resp.started,rep_resp.stopped,task_response.keys,task_response.corr,task_response.rt,feedbImage_2.started,feedbImage_2.stopped,participant,Expra Code,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],space,1.4416786829970079,,,,,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide1.png,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.47437554100179113,8.193135968991555,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide2.png,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,0.1800347959942883,8.707937382991076,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide3.png,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.14282654799171723,8.928098309988854,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide4.png,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.16027314998791553,9.111710812998354,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide5.png,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.143002469005296,9.314161500995397,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
stimuli/slide6.png,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.1622097439976642,9.497037915993133,None,,,,,,,,,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.669374241988407,None,9.880113666993566,None,space,0.5177251620043535,9.880113666993566,None,,,,,,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,stimuli/m_red.jpg,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,stimuli/Clothing.png,1,Food,1,1,stimuli/objects/chocolatecroissant.jpg,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,,2,0,1.7200676279899199,14.538689359993441,15.039412993995938,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,stimuli/m_red.jpg,stimuli/Clothing.png,stimuli/Food.png,stimuli/Gamestoy & entertainment.png,stimuli/Vehicle.png,0,Vehicle,4,0,stimuli/objects/tricycle.jpg,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,0,,,,,,,,,,,,,,,2,0,1.035504169005435,19.169630829987,19.68170718298643,,,,,,,,,,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,stimuli/m_orange.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,,Electronic device & accessory,4,1,stimuli/objects/spotlight.jpg,1,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,n,1.8527536960027646,20.384031582987518,None,1,0,0.7180034839984728,26.503308722996735,27.012304681993555,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,stimuli/m_black.jpg,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,,Kitchen & utensil,1,1,stimuli/objects/peppermill02b.jpg,0,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0.4844375930115348,30.57609084599244,31.086807881991263,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
,stimuli/m_black.jpg,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,,Kitchen & utensil,4,1,stimuli/objects/canister.jpg,0,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.818297788995551,34.99640546798764,35.495236295988434,551,,2021_Dez_03_1740,MemLear_ses-01_part-01_label-phase1,2020.1.3,59.902569905656115,
