illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,illustration_loop.ran,images,key,participant,Expra Code,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.corr,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,n_back_loop.ran,word,CORRanswer,trialtype,hit_NoHit,key_resp_4.rt
0,0,0,0,1,slide 1.jpg,'space’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,1,1,1,1,slide 2.jpg,'l’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,2,2,2,1,slide 3.jpg,'l’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,3,3,3,1,slide 4.jpg,'l’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,4,4,4,1,slide 5.jpg,'d’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
0,5,5,5,1,slide 6.jpg,'l’,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,,,,,,,,,,,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,0,0,0,1,bless,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,1,1,1,1,nature,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,2,2,2,1,carefree,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,3,3,3,1,nature,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,4,4,4,1,easygoing,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,5,5,5,1,pillow,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,6,6,6,1,easygoing,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,7,7,7,1,gentle,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,8,8,8,1,square,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,9,9,9,1,gentle,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,10,10,10,1,carefree,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,11,11,11,1,tool,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,"[""l"",""d"",""l"",""d"",""l""]",0,0,12,12,12,1,bored,l,0,NoHit,"[0.1048999999999296,0.4871000000001118,0.8787000000002081,1.1574999999999989,1.6573999999999103]"
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,"[""d"",""l"",""d"",""l""]",0,0,13,13,13,1,tool,d,1,Hit,"[0.24670000000017467,0.768999999999977,0.96290000000036,1.1773000000002583]"
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,14,14,14,1,home,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,15,15,15,1,immature,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,16,16,16,1,home,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,17,17,17,1,fault,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,18,18,18,1,pillow,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,19,19,19,1,violin,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,20,20,20,1,violin,d,1,Hit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,21,21,21,1,tense,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,22,22,22,1,confident,l,0,NoHit,
,,,,,,,993,89897,2021-12-02_13h14.02.298,MemLear_ses-01_part-02_label-nBack,2020.1.3,Linux x86_64,60,,0,0,23,23,23,1,bomb,l,0,NoHit,
