images,key,word,CORRanswer,trialtype,hit_NoHit,illustration_loop.thisRepN,illustration_loop.thisTrialN,illustration_loop.thisN,illustration_loop.thisIndex,n_back_loop.thisRepN,n_back_loop.thisTrialN,n_back_loop.thisN,n_back_loop.thisIndex,image.started,image.stopped,text_3.started,text_3.stopped,blank.started,blank.stopped,word_pres.started,word_pres.stopped,text_4.started,text_4.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,participant,Expra Code,date,expName,psychopyVersion,frameRate,
slide 1.jpg,'space’,,,,,0,0,0,0,,,,,7.501711247998173,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 2.jpg,'l’,,,,,0,1,1,1,,,,,7.633598690998042,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 3.jpg,'l’,,,,,0,2,2,2,,,,,7.784948522006744,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 4.jpg,'l’,,,,,0,3,3,3,,,,,7.9357874220004305,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 5.jpg,'d’,,,,,0,4,4,4,,,,,8.0871054080053,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 6.jpg,'l’,,,,,0,5,5,5,,,,,8.260802963995957,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
slide 7.jpg,'space’,,,,,0,6,6,6,,,,,8.436680497005,None,,,,,,,,,,,,999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,bless,l,0,NoHit,,,,,0,0,0,0,,,8.54371228099626,None,9.004505215998506,None,10.20688670000527,None,10.01988614599395,10.223591832997045,['l'],0,[3.9109461569896666],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,nature,l,0,NoHit,,,,,0,1,1,1,,,,,,,14.131040109001333,None,13.947327225003392,14.147768078997615,['d'],0,[2.154355824997765],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,carefree,l,0,NoHit,,,,,0,2,2,2,,,,,,,16.301811312005157,None,16.11809709999943,16.31854535700404,['l'],0,[1.6367585250118282],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,nature,d,1,Hit,,,,,0,3,3,3,,,,,,,17.954993455001386,None,17.771306409995304,17.971719538996695,['l'],0,[1.669893004000187],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,easygoing,l,0,NoHit,,,,,0,4,4,4,,,,,,,19.641563447003136,None,19.45780593699601,19.658741171006113,['d'],0,[1.5698343560070498],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
,,pillow,l,0,NoHit,,,,,0,5,5,5,,,,,,,21.227898872006335,None,21.044198837000295,21.24571686499985,['l'],0,[1.4694938440079568],999,,2021_Dez_03_1944,MemLear_ses-01_part-02_label-nBack,2020.1.3,59.88933158227284,
