images,modal_categ,type,corr_ans,order
stimuli/objects/spatula03.jpg,Kitchen & utensil,old,left,1
stimuli/objects/walkietalkie.jpg,Electronic device & accessory,old,left,2
stimuli/objects/podium.jpg,Outdoor activity & sport item,old,left,3
stimuli/objects/cork02.jpg,Kitchen & utensil,new,right,4
stimuli/objects/peeler01.jpg,Kitchen & utensil,old,left,5
stimuli/objects/dvdcase01.jpg,Electronic device & accessory,new,right,6
stimuli/objects/coffeepot03a.jpg,Kitchen & utensil,old,left,7
stimuli/objects/whisk.jpg,Kitchen & utensil,old,left,8
stimuli/objects/cuttingpliers02.jpg,Hand labour tool & accessory,old,left,9
stimuli/objects/pot01.jpg,Kitchen & utensil,old,left,10
stimuli/objects/desktopcomputer.jpg,Electronic device & accessory,old,left,11
stimuli/objects/bikepump01.jpg,Outdoor activity & sport item,old,left,12
stimuli/objects/handmixer01d.jpg,Kitchen & utensil,old,left,13
stimuli/objects/gps.jpg,Electronic device & accessory,old,left,14
stimuli/objects/potatomasher03b.jpg,Kitchen & utensil,old,left,15
stimuli/objects/hockeygoaliemask.jpg,Outdoor activity & sport item,new,right,16
stimuli/objects/mitresaw.jpg,Hand labour tool & accessory,new,right,17
stimuli/objects/jack.jpg,Electronic device & accessory,old,left,18
stimuli/objects/fanblades.jpg,Electronic device & accessory,new,right,19
stimuli/objects/alarmsystem.jpg,Electronic device & accessory,old,left,20
stimuli/objects/bottleopener01.jpg,Kitchen & utensil,new,right,21
stimuli/objects/ipod.jpg,Electronic device & accessory,old,left,22
stimuli/objects/jug.jpg,Kitchen & utensil,new,right,23
stimuli/objects/foodprocessor.jpg,Kitchen & utensil,new,right,24
stimuli/objects/hockeypuck.jpg,Outdoor activity & sport item,new,right,25
stimuli/objects/espressomachine.jpg,Kitchen & utensil,new,right,26
stimuli/objects/remotecontrol04.jpg,Electronic device & accessory,old,left,27
stimuli/objects/avcable.jpg,Electronic device & accessory,old,left,28
stimuli/objects/microphone01.jpg,Electronic device & accessory,new,right,29
stimuli/objects/extensioncord.jpg,Electronic device & accessory,old,left,30
stimuli/objects/videocamera01a.jpg,Electronic device & accessory,old,left,31
stimuli/objects/waterbottle03.jpg,Kitchen & utensil,old,left,32
stimuli/objects/toasteroven.jpg,Kitchen & utensil,old,left,33
stimuli/objects/footballhelmet.jpg,Outdoor activity & sport item,new,right,34
stimuli/objects/charcoalbarbecue.jpg,Outdoor activity & sport item,old,left,35
stimuli/objects/alarmclock01.jpg,Electronic device & accessory,new,right,36
stimuli/objects/breadknife.jpg,Kitchen & utensil,old,left,37
stimuli/objects/megaphone.jpg,Electronic device & accessory,new,right,38
stimuli/objects/bowl02a.jpg,Kitchen & utensil,old,left,39
stimuli/objects/phonejack.jpg,Electronic device & accessory,old,left,40
stimuli/objects/surfboard.jpg,Outdoor activity & sport item,old,left,41
stimuli/objects/electricoutlet.jpg,Electronic device & accessory,old,left,42
stimuli/objects/dishrack.jpg,Kitchen & utensil,old,left,43
stimuli/objects/tripod01.jpg,Electronic device & accessory,new,right,44
stimuli/objects/airconditioner.jpg,Electronic device & accessory,new,right,45
stimuli/objects/cameracase01a.jpg,Electronic device & accessory,old,left,46
stimuli/objects/lawnmower.jpg,Hand labour tool & accessory,old,left,47
stimuli/objects/photocopier.jpg,Electronic device & accessory,old,left,48
stimuli/objects/spotlight.jpg,Electronic device & accessory,old,left,49
stimuli/objects/cashregister01.jpg,Electronic device & accessory,old,left,50
stimuli/objects/cellphone.jpg,Electronic device & accessory,new,right,51
stimuli/objects/tupperware03a.jpg,Kitchen & utensil,old,left,52
stimuli/objects/swissarmyknife01a.jpg,Hand labour tool & accessory,old,left,53
stimuli/objects/wafflemaker.jpg,Kitchen & utensil,new,right,54
stimuli/objects/painttray.jpg,Hand labour tool & accessory,old,left,55
stimuli/objects/expansioncard.jpg,Electronic device & accessory,old,left,56
stimuli/objects/backpack01a.jpg,Outdoor activity & sport item,old,left,57
stimuli/objects/icebucket.jpg,Kitchen & utensil,old,left,58
stimuli/objects/fishingrod.jpg,Outdoor activity & sport item,new,right,59
stimuli/objects/wheelbarrow01.jpg,Hand labour tool & accessory,new,right,60
stimuli/objects/swimgoggles.jpg,Outdoor activity & sport item,old,left,61
stimuli/objects/chandelier.jpg,Electronic device & accessory,old,left,62
stimuli/objects/cakeplatter.jpg,Kitchen & utensil,old,left,63
stimuli/objects/carantenna.jpg,Electronic device & accessory,old,left,64
stimuli/objects/usbcable01a.jpg,Electronic device & accessory,new,right,65
stimuli/objects/floppydisk02a.jpg,Electronic device & accessory,new,right,66
stimuli/objects/chocolatefonduedish.jpg,Kitchen & utensil,old,left,67
stimuli/objects/knife03.jpg,Kitchen & utensil,old,left,68
stimuli/objects/icepack.jpg,Kitchen & utensil,old,left,69
stimuli/objects/securitycamera.jpg,Electronic device & accessory,old,left,70
stimuli/objects/solderingiron.jpg,Hand labour tool & accessory,new,right,71
stimuli/objects/scanner.jpg,Electronic device & accessory,old,left,72
stimuli/objects/coffeemaker.jpg,Kitchen & utensil,old,left,73
stimuli/objects/oven.jpg,Kitchen & utensil,old,left,74
stimuli/objects/fan.jpg,Electronic device & accessory,new,right,75
stimuli/objects/styrofoamcup.jpg,Kitchen & utensil,new,right,76
stimuli/objects/taperecorder.jpg,Electronic device & accessory,old,left,77
stimuli/objects/snowshovel.jpg,Hand labour tool & accessory,old,left,78
stimuli/objects/webcam.jpg,Electronic device & accessory,new,right,79
stimuli/objects/golfbag.jpg,Outdoor activity & sport item,old,left,80
stimuli/objects/icecubetray01a.jpg,Kitchen & utensil,new,right,81
stimuli/objects/outletadapter.jpg,Electronic device & accessory,new,right,82
stimuli/objects/pitcher02b.jpg,Kitchen & utensil,old,left,83
stimuli/objects/strainer01b.jpg,Kitchen & utensil,new,right,84
stimuli/objects/cookingpot.jpg,Kitchen & utensil,old,left,85
stimuli/objects/spicerack.jpg,Kitchen & utensil,old,left,86
stimuli/objects/camera01a.jpg,Electronic device & accessory,old,left,87
stimuli/objects/smokedetector02.jpg,Electronic device & accessory,new,right,88
stimuli/objects/fonduefork01.jpg,Kitchen & utensil,old,left,89
stimuli/objects/garlicpress02a.jpg,Kitchen & utensil,new,right,90
